epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.20591,0,26.2808,0,0,0,0,0,0,0,0,0.0704687,0.00328125,0.00328125
2,14.5559,0,0,0,0,0,0,0,0,0,0,0.0404033,0.0065491,0.0065491
3,20.8981,0,0,0,0,0,0,0,0,0,0,0.0102718,0.00975095,0.00975095
4,27.1665,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,33.4274,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,39.6799,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,45.9466,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,52.1963,0,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,58.483,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,64.7597,0,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,70.9937,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,77.6668,0,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,84.638,0,0,0,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,91.6262,0,0,0,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,98.5819,0,0,0,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,105.719,0,0,0,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,112.662,0,0,0,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,119.719,0,0,0,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,126.828,0,0,0,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,133.967,0,0,0,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,140.153,0,0,0,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,146.307,0,0,0,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,152.505,0,0,0,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,158.682,0,0,0,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,164.857,0,0,0,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,171.043,0,0,0,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,177.323,0,0,0,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,183.558,0,0,0,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,189.715,0,0,0,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,195.855,0,0,0,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,202.041,0,0,0,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,208.204,0,0,0,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,214.455,0,0,0,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,221.1,0,0,0,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,228.019,0,0,0,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,234.947,0,0,0,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,241.867,0,0,0,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,248.636,0,0,0,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,254.855,0,0,0,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,260.99,0,0,0,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,267.167,0,0,0,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,273.312,0,0,0,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,279.484,0,0,0,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,286.113,0,0,0,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,293.15,0,0,0,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,300.174,0,0,0,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,307.28,0,0,0,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,314.405,0,0,0,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,321.165,0,0,0,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,327.366,0,0,0,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,334.404,0,0,0,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,341.775,0,0,0,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,348.753,0,0,0,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,355.664,0,0,0,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,362.61,0,0,0,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
