epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3648,1.03395,1.55971,1.19686,0.60125,0.4392,0.45785,0.33375,0.92431,1.26537,1.17868,0.0701181,0.00332021,0.00332021
2,32.1673,0.93643,1.1184,1.15596,0.89711,0.34188,0.48605,0.36668,0.83604,1.47444,1.15494,0.0400522,0.00658767,0.00658767
3,46.6817,0.90196,1.02664,1.13285,0.72489,0.53057,0.5381,0.42248,0.74727,1.01141,1.08373,0.00992037,0.00978914,0.00978914
4,61.4565,0.83551,0.9626,1.1066,0.57924,0.66122,0.57545,0.46626,0.68584,0.79868,1.0542,0.009703,0.009703,0.009703
5,75.9106,0.77996,0.91252,1.07825,0.82991,0.50562,0.54319,0.42812,0.6949,0.84345,1.061,0.009604,0.009604,0.009604
6,90.4545,0.76775,0.88676,1.0722,0.88197,0.45376,0.61455,0.49361,0.68807,0.79192,1.03672,0.009505,0.009505,0.009505
7,105.395,0.75056,0.86819,1.05962,0.61912,0.60736,0.63194,0.51812,0.61023,0.77099,1.0054,0.009406,0.009406,0.009406
8,121.682,0.71369,0.84201,1.04359,0.85616,0.50525,0.61052,0.50396,0.59784,0.69288,1.00773,0.009307,0.009307,0.009307
9,137.119,0.6968,0.80382,1.03451,0.87136,0.53003,0.62915,0.52595,0.57157,0.66231,0.99824,0.009208,0.009208,0.009208
10,152.844,0.68709,0.80154,1.03249,0.88656,0.51048,0.61127,0.5106,0.57182,0.69277,0.99007,0.009109,0.009109,0.009109
11,169.316,0.67162,0.78694,1.02402,0.61479,0.73406,0.67129,0.5669,0.55735,0.68225,0.98162,0.00901,0.00901,0.00901
12,185.688,0.65537,0.76547,1.01467,0.51703,0.77711,0.64159,0.55404,0.52968,0.68144,0.95489,0.008911,0.008911,0.008911
13,201.98,0.64937,0.76206,1.01661,0.83543,0.55601,0.64047,0.54914,0.53141,0.66094,0.97245,0.008812,0.008812,0.008812
14,218.332,0.63946,0.74558,1.00728,0.71152,0.61243,0.63129,0.54083,0.53057,0.73877,0.95566,0.008713,0.008713,0.008713
15,234.901,0.63804,0.74514,1.00932,0.6254,0.7244,0.64293,0.55722,0.51068,0.62631,0.945,0.008614,0.008614,0.008614
16,251.461,0.6359,0.73475,1.00352,0.47762,0.81365,0.61948,0.51922,0.55311,0.64635,0.96865,0.008515,0.008515,0.008515
17,267.182,0.63193,0.73987,1.0042,0.69469,0.67937,0.66728,0.57273,0.50299,0.63376,0.95021,0.008416,0.008416,0.008416
18,282.369,0.61026,0.72034,0.99588,0.66885,0.61596,0.65101,0.57376,0.53096,0.61293,0.9554,0.008317,0.008317,0.008317
19,297.177,0.59893,0.70686,0.98786,0.77889,0.57293,0.66117,0.56457,0.49578,0.5973,0.94619,0.008218,0.008218,0.008218
20,313.459,0.60449,0.70626,0.99159,0.66708,0.72725,0.68151,0.5749,0.50258,0.62423,0.94576,0.008119,0.008119,0.008119
21,329.857,0.60739,0.70855,0.98786,0.69933,0.68801,0.66801,0.5861,0.48893,0.60686,0.93781,0.00802,0.00802,0.00802
22,346.176,0.60548,0.71479,0.99575,0.57698,0.75613,0.67395,0.58518,0.51644,0.60945,0.94407,0.007921,0.007921,0.007921
23,362.324,0.59285,0.70135,0.9867,0.68576,0.72334,0.69392,0.59596,0.48198,0.58634,0.93631,0.007822,0.007822,0.007822
24,378.029,0.58279,0.68971,0.97732,0.58261,0.76477,0.6728,0.59909,0.45048,0.58031,0.93588,0.007723,0.007723,0.007723
25,393.987,0.58016,0.6854,0.97985,0.69829,0.64596,0.68824,0.60434,0.46921,0.56883,0.92882,0.007624,0.007624,0.007624
26,410.324,0.5776,0.69588,0.97775,0.65511,0.71881,0.704,0.61555,0.4599,0.57653,0.92891,0.007525,0.007525,0.007525
27,426.644,0.56523,0.67709,0.9723,0.71469,0.64216,0.64601,0.57075,0.47634,0.58132,0.94649,0.007426,0.007426,0.007426
28,442.932,0.56393,0.67779,0.97186,0.65001,0.69608,0.66282,0.57913,0.48575,0.59586,0.93414,0.007327,0.007327,0.007327
29,459.196,0.56503,0.67806,0.97119,0.66551,0.6849,0.69567,0.61746,0.45654,0.56619,0.92846,0.007228,0.007228,0.007228
30,475.573,0.56639,0.6827,0.97709,0.7677,0.63638,0.67753,0.59562,0.46383,0.57156,0.92852,0.007129,0.007129,0.007129
31,491.508,0.56867,0.67458,0.97465,0.73681,0.6821,0.69519,0.62359,0.42375,0.54818,0.91212,0.00703,0.00703,0.00703
32,507.277,0.56659,0.67724,0.97032,0.72102,0.70042,0.68734,0.60398,0.44916,0.556,0.9248,0.006931,0.006931,0.006931
33,523.348,0.55807,0.66421,0.96549,0.72971,0.64142,0.66478,0.58682,0.44839,0.58577,0.91697,0.006832,0.006832,0.006832
34,539.892,0.54862,0.65313,0.96381,0.6886,0.70465,0.69383,0.6112,0.44009,0.55553,0.9205,0.006733,0.006733,0.006733
35,556.175,0.54807,0.6578,0.96468,0.5321,0.9118,0.71813,0.63301,0.43799,0.53158,0.91834,0.006634,0.006634,0.006634
36,572.477,0.53901,0.64571,0.95662,0.73928,0.76254,0.71286,0.63707,0.40968,0.52674,0.90879,0.006535,0.006535,0.006535
37,588.919,0.53581,0.6432,0.95386,0.76656,0.64525,0.70326,0.62956,0.4248,0.55747,0.90341,0.006436,0.006436,0.006436
38,605.418,0.53309,0.64639,0.96131,0.67437,0.77197,0.69344,0.62789,0.42798,0.54364,0.90871,0.006337,0.006337,0.006337
39,622.051,0.54357,0.64732,0.95944,0.70491,0.71094,0.71411,0.64063,0.42237,0.53606,0.90309,0.006238,0.006238,0.006238
40,638.682,0.52929,0.62936,0.95036,0.63546,0.78776,0.69363,0.62726,0.40535,0.53346,0.90075,0.006139,0.006139,0.006139
41,654.985,0.529,0.63919,0.95257,0.66934,0.78237,0.72702,0.64906,0.43261,0.56394,0.90973,0.00604,0.00604,0.00604
42,671.362,0.525,0.6375,0.95726,0.7125,0.70956,0.70765,0.63755,0.40085,0.52475,0.90031,0.005941,0.005941,0.005941
43,687.694,0.51967,0.62313,0.94834,0.72777,0.70955,0.70879,0.63667,0.39322,0.51576,0.89563,0.005842,0.005842,0.005842
44,703.916,0.5259,0.63725,0.95128,0.68472,0.7302,0.74452,0.67242,0.40277,0.52886,0.89668,0.005743,0.005743,0.005743
45,720.332,0.51414,0.62707,0.94864,0.74792,0.68554,0.72228,0.65666,0.39317,0.51614,0.8936,0.005644,0.005644,0.005644
46,736.178,0.51405,0.62106,0.94651,0.64204,0.71807,0.71099,0.63766,0.43075,0.52108,0.90459,0.005545,0.005545,0.005545
47,752.194,0.51466,0.62795,0.95169,0.65879,0.7495,0.72075,0.6432,0.41736,0.53064,0.90024,0.005446,0.005446,0.005446
48,768.665,0.50988,0.6181,0.9466,0.67943,0.77918,0.71713,0.64422,0.40625,0.52387,0.90678,0.005347,0.005347,0.005347
49,785.055,0.51112,0.6228,0.95023,0.73199,0.76418,0.71846,0.64641,0.4064,0.51917,0.89764,0.005248,0.005248,0.005248
50,801.385,0.50438,0.61822,0.95265,0.62424,0.86693,0.74866,0.67548,0.40519,0.52772,0.89974,0.005149,0.005149,0.005149
51,817.745,0.50519,0.61705,0.94452,0.69395,0.73994,0.74254,0.67017,0.40006,0.51509,0.8988,0.00505,0.00505,0.00505
52,834.02,0.50743,0.62111,0.94719,0.78607,0.68415,0.74206,0.6745,0.40086,0.52294,0.89618,0.004951,0.004951,0.004951
53,850.138,0.50523,0.61112,0.94492,0.74266,0.66672,0.73671,0.6628,0.39943,0.51355,0.89491,0.004852,0.004852,0.004852
54,866.008,0.51193,0.62675,0.94666,0.71904,0.69687,0.71849,0.64504,0.41613,0.55778,0.90003,0.004753,0.004753,0.004753
55,882.262,0.50528,0.61465,0.94333,0.72022,0.74096,0.70709,0.64769,0.36974,0.49532,0.88533,0.004654,0.004654,0.004654
56,898.681,0.49836,0.61126,0.94485,0.73505,0.67456,0.72726,0.66305,0.38583,0.50263,0.89747,0.004555,0.004555,0.004555
